,song,artist,image,rank,year
0,Bad Day,Daniel Powter,https://charts-static.billboard.com/img/1840/12/daniel-powter-nsa-53x53.jpg,1,2006
1,Temperature,Sean Paul,https://charts-static.billboard.com/img/2005/12/sean-paul-uyx-53x53.jpg,2,2006
2,Promiscuous,Nelly Furtado Featuring Timbaland,https://charts-static.billboard.com/img/2006/05/nelly-furtado-ezw-53x53.jpg,3,2006
3,You're Beautiful,James Blunt,https://charts-static.billboard.com/img/2005/07/james-blunt-nim-53x53.jpg,4,2006
4,Hips Don't Lie,Shakira Featuring Wyclef Jean,https://charts-static.billboard.com/img/2006/03/shakira-mhe-53x53.jpg,5,2006
5,Unwritten,Natasha Bedingfield,https://charts-static.billboard.com/img/2005/11/natasha-bedingfield-z7w-53x53.jpg,6,2006
6,Crazy,Gnarls Barkley,https://charts-static.billboard.com/img/2006/04/gnarls-barkley-bom-53x53.jpg,7,2006
7,Ridin',Chamillionaire Featuring Krayzie Bone,https://charts-static.billboard.com/img/2006/01/chamillionaire-brc-53x53.jpg,8,2006
8,SexyBack,Justin Timberlake,https://charts-static.billboard.com/img/2006/07/justin-timberlake-bcj-53x53.jpg,9,2006
9,Check On It,Beyonce Featuring Slim Thug,https://charts-static.billboard.com/img/2002/06/beyonce-0na-53x53.jpg,10,2006
10,Be Without You,Mary J. Blige,https://charts-static.billboard.com/img/2017/07/mary-j-blige-53x53.jpg,11,2006
11,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",https://charts-static.billboard.com/img/2005/10/nelly-fmf-53x53.jpg,12,2006
12,Over My Head (Cable Car),The Fray,https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg,13,2006
13,Me & U,Cassie,https://charts-static.billboard.com/img/2006/03/cassie-68b-53x53.jpg,14,2006
14,Buttons,The Pussycat Dolls Featuring Snoop Dogg,https://charts-static.billboard.com/img/2006/04/the-pussycat-dolls-t1l-53x53.jpg,15,2006
15,Run It!,Chris Brown,https://charts-static.billboard.com/img/2005/07/chris-brown-cte-53x53.jpg,16,2006
16,So Sick,Ne-Yo,https://charts-static.billboard.com/img/2005/10/ne-yo-kuu-53x53.jpg,17,2006
17,It's Goin' Down,Yung Joc,https://charts-static.billboard.com/img/2006/01/yung-joc-f7d-53x53.jpg,18,2006
18,SOS,Rihanna,https://charts-static.billboard.com/img/2005/06/rihanna-t38-53x53.jpg,19,2006
19,I Write Sins Not Tragedies,Panic! At The Disco,https://charts-static.billboard.com/img/2006/02/panic-at-the-disco-yl6-53x53.jpg,20,2006
20,Move Along,The All-American Rejects,https://charts-static.billboard.com/img/2005/07/the-all-american-rejects-yky-53x53.jpg,21,2006
21,London Bridge,Fergie,https://charts-static.billboard.com/img/2006/07/fergie-8pu-53x53.jpg,22,2006
22,Dani California,Red Hot Chili Peppers,https://charts-static.billboard.com/img/1984/09/red-hot-chili-peppers-s9k-53x53.jpg,23,2006
23,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,https://charts-static.billboard.com/img/2005/12/lil-jon-cje-53x53.jpg,24,2006
24,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,https://charts-static.billboard.com/img/2005/11/dem-franchize-boyz-a35-53x53.jpg,25,2006
25,What Hurts The Most,Rascal Flatts,https://charts-static.billboard.com/img/2006/01/rascal-flatts-o8u-53x53.jpg,26,2006
26,How To Save A Life,The Fray,https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg,27,2006
27,Unfaithful,Rihanna,https://charts-static.billboard.com/img/2005/06/rihanna-t38-53x53.jpg,28,2006
28,Chasing Cars,Snow Patrol,https://charts-static.billboard.com/img/1840/12/snow-patrol-45e-53x53.jpg,29,2006
29,Lips Of An Angel,Hinder,https://charts-static.billboard.com/img/2006/04/hinder-iwo-53x53.jpg,30,2006
30,Everytime We Touch,Cascada,https://charts-static.billboard.com/img/2005/09/cascada-tir-53x53.jpg,31,2006
31,Ain't No Other Man,Christina Aguilera,https://charts-static.billboard.com/img/2006/06/christina-aguilera-9ag-53x53.jpg,32,2006
32,"Dance, Dance",Fall Out Boy,https://charts-static.billboard.com/img/2005/10/fall-out-boy-zhw-53x53.jpg,33,2006
33,Gold Digger,Kanye West Featuring Jamie Foxx,https://charts-static.billboard.com/img/2005/07/kanye-west-nwz-gold-digger-g7e-53x53.jpg,34,2006
34,Money Maker,Ludacris Featuring Pharrell,https://charts-static.billboard.com/img/2006/07/ludacris-5cn-53x53.jpg,35,2006
35,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,https://charts-static.billboard.com/img/2005/12/bubba-sparxxx-y2o-53x53.jpg,36,2006
36,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,https://charts-static.billboard.com/img/2006/04/sean-paul-uyx-53x53.jpg,37,2006
37,Photograph,Nickelback,https://charts-static.billboard.com/img/2017/07/nickelback-53x53.jpg,38,2006
38,Because Of You,Kelly Clarkson,https://charts-static.billboard.com/img/2005/08/kelly-clarkson-091-53x53.jpg,39,2006
39,Stickwitu,The Pussycat Dolls,https://charts-static.billboard.com/img/2005/10/the-pussycat-dolls-t1l-53x53.jpg,40,2006
40,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,https://charts-static.billboard.com/img/2005/12/t-pain-kj8-53x53.jpg,41,2006
41,My Humps,The Black Eyed Peas,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-wdp-53x53.jpg,42,2006
42,Where'd You Go,Fort Minor Featuring Holly Brook,https://charts-static.billboard.com/img/2006/04/fort-minor-57z-53x53.jpg,43,2006
43,Yo (Excuse Me Miss),Chris Brown,https://charts-static.billboard.com/img/2005/07/chris-brown-abf-53x53.jpg,44,2006
44,Walk Away,Kelly Clarkson,https://charts-static.billboard.com/img/2005/12/kelly-clarkson-091-53x53.jpg,45,2006
45,Laffy Taffy,D4L,https://charts-static.billboard.com/img/2005/07/d4l-ba3-53x53.jpg,46,2006
46,What You Know,T.I.,https://charts-static.billboard.com/img/2006/02/ti-e27-53x53.jpg,47,2006
47,Dirty Little Secret,The All-American Rejects,https://charts-static.billboard.com/img/2005/07/the-all-american-rejects-yky-53x53.jpg,48,2006
48,Savin' Me,Nickelback,https://charts-static.billboard.com/img/2006/02/nickelback-v3l-savin-me-ydr-53x53.jpg,49,2006
49,Don't Forget About Us,Mariah Carey,https://charts-static.billboard.com/img/2005/10/mariah-carey-tgq-53x53.jpg,50,2006
50,Sexy Love,Ne-Yo,https://charts-static.billboard.com/img/2006/06/ne-yo-kuu-sexy-love-yc3-53x53.jpg,51,2006
51,U And Dat,E-40 Featuring T-Pain & Kandi Girl,https://charts-static.billboard.com/img/2006/04/e-40-gbj-53x53.jpg,52,2006
52,Far Away,Nickelback,https://charts-static.billboard.com/img/2006/01/nickelback-5lu-53x53.jpg,53,2006
53,What's Left Of Me,Nick Lachey,https://charts-static.billboard.com/img/2006/03/nick-lachey-lm6-53x53.jpg,54,2006
54,So What,Field Mob Featuring Ciara,https://charts-static.billboard.com/img/2006/03/field-mob-vkl-53x53.jpg,55,2006
55,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,https://charts-static.billboard.com/img/2006/03/cherish-c9i-53x53.jpg,56,2006
56,Black Horse & The Cherry Tree,KT Tunstall,https://charts-static.billboard.com/img/2005/11/kt-tunstall-hm5-53x53.jpg,57,2006
57,There It Go! (The Whistle Song),Juelz Santana,https://charts-static.billboard.com/img/2005/08/juelz-santana-yuj-53x53.jpg,58,2006
58,Shoulder Lean,Young Dro Featuring T.I.,https://charts-static.billboard.com/img/2006/03/young-dro-3p0-53x53.jpg,59,2006
59,Unpredictable,Jamie Foxx Featuring Ludacris,https://charts-static.billboard.com/img/2005/10/jamie-foxx-hji-53x53.jpg,60,2006
60,My Love,Justin Timberlake Featuring T.I.,https://charts-static.billboard.com/img/2006/09/justin-timberlake-wmm-53x53.jpg,61,2006
61,Shake That,Eminem Featuring Nate Dogg,https://charts-static.billboard.com/img/2005/12/eminem-1xq-53x53.jpg,62,2006
62,Pullin' Me Back,Chingy Featuring Tyrese,https://charts-static.billboard.com/img/2006/06/chingy-pez-53x53.jpg,63,2006
63,Bossy,Kelis Featuring Too $hort,https://charts-static.billboard.com/img/2006/04/kelis-2so-53x53.jpg,64,2006
64,Chain Hang Low,Jibbs,https://charts-static.billboard.com/img/2006/07/jibbs-jl9-53x53.jpg,65,2006
65,Smack That,Akon Featuring Eminem,https://charts-static.billboard.com/img/1840/12/akon-r9x-53x53.jpg,66,2006
66,One Wish,Ray J,https://charts-static.billboard.com/img/2005/08/ray-j-rv3-53x53.jpg,67,2006
67,"Sugar, We're Goin' Down",Fall Out Boy,https://charts-static.billboard.com/img/2005/06/fall-out-boy-zhw-53x53.jpg,68,2006
68,Gimme That,Chris Brown Featuring Lil Wayne,https://charts-static.billboard.com/img/2005/07/chris-brown-abf-53x53.jpg,69,2006
69,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,https://charts-static.billboard.com/img/2006/06/yung-joc-f7d-53x53.jpg,70,2006
70,Who Says You Can't Go Home,Bon Jovi,https://charts-static.billboard.com/img/2006/01/bon-jovi-g8x-53x53.jpg,71,2006
71,Too Little Too Late,JoJo,https://charts-static.billboard.com/img/2006/07/jojo-iey-53x53.jpg,72,2006
72,Touch It,Busta Rhymes,https://charts-static.billboard.com/img/2005/10/busta-rhymes-sbv-53x53.jpg,73,2006
73,Rompe,Daddy Yankee,https://charts-static.billboard.com/img/2005/11/daddy-yankee-1tx-53x53.jpg,74,2006
74,Deja Vu,Beyonce Featuring Jay Z,https://charts-static.billboard.com/img/2002/06/beyonce-0na-53x53.jpg,75,2006
75,Life Is A Highway,Rascal Flatts,https://charts-static.billboard.com/img/2006/06/rascal-flatts-o8u-53x53.jpg,76,2006
76,Call Me When You're Sober,Evanescence,https://charts-static.billboard.com/img/2006/08/evanescence-d6v-53x53.jpg,77,2006
77,"Jesus, Take The Wheel",Carrie Underwood,https://charts-static.billboard.com/img/2005/11/carrie-underwood-ko6-53x53.jpg,78,2006
78,Show Stopper,Danity Kane,https://charts-static.billboard.com/img/2006/08/danity-kane-gn6-53x53.jpg,79,2006
79,Get Up,Ciara Featuring Chamillionaire,https://charts-static.billboard.com/img/2006/07/ciara-b1v-53x53.jpg,80,2006
80,We Be Burnin',Sean Paul,https://charts-static.billboard.com/img/2005/03/sean-paul-uyx-91x91.jpg,81,2006
81,Hate Me,Blue October,https://charts-static.billboard.com/img/2006/02/blue-october-07a-53x53.jpg,82,2006
82,You And Me,Lifehouse,https://charts-static.billboard.com/img/2005/02/lifehouse-ekp-53x53.jpg,83,2006
83,Beep,The Pussycat Dolls Featuring will.i.am,https://charts-static.billboard.com/img/2005/12/the-pussycat-dolls-t1l-53x53.jpg,84,2006
84,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",https://charts-static.billboard.com/img/2005/07/dem-franchize-boyz-a35-53x53.jpg,85,2006
85,Say Goodbye,Chris Brown,https://charts-static.billboard.com/img/2005/07/chris-brown-abf-53x53.jpg,86,2006
86,Waiting On The World To Change,John Mayer,https://charts-static.billboard.com/img/2017/05/john-mayer-53x53.jpg,87,2006
87,Soul Survivor,Young Jeezy Featuring Akon,https://charts-static.billboard.com/img/2005/07/jeezy-g79-53x53.jpg,88,2006
88,Pump It,The Black Eyed Peas,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-wdp-53x53.jpg,89,2006
89,When I'm Gone,Eminem,https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0,90,2006
90,Hung Up,Madonna,https://charts-static.billboard.com/img/1982/11/madonna-mcq-53x53.jpg,91,2006
91,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,https://charts-static.billboard.com/img/2005/07/three-6-mafia-wgx-53x53.jpg,92,2006
92,Love,Keyshia Cole,https://charts-static.billboard.com/img/2005/10/keyshia-cole-3ov-53x53.jpg,93,2006
93,When You're Mad,Ne-Yo,https://charts-static.billboard.com/img/2005/08/ne-yo-kuu-53x53.jpg,94,2006
94,Why You Wanna,T.I.,https://charts-static.billboard.com/img/2006/04/ti-e27-53x53.jpg,95,2006
95,Stupid Girls,P!nk,https://charts-static.billboard.com/img/2000/01/pnk-6ml-53x53.jpg,96,2006
96,Feel Good Inc,Gorillaz,https://charts-static.billboard.com/img/2005/04/gorillaz-n6n-53x53.jpg,97,2006
97,I'm Sprung,T-Pain,https://charts-static.billboard.com/img/2005/08/t-pain-kj8-53x53.jpg,98,2006
98,Do I Make You Proud,Taylor Hicks,https://charts-static.billboard.com/img/2006/06/taylor-hicks-crw-53x53.jpg,99,2006
99,For You I Will (Confidence),Teddy Geiger,https://charts-static.billboard.com/img/2006/02/teddy-geiger-29w-53x53.jpg,100,2006
100,Irreplaceable,Beyonce,https://charts-static.billboard.com/img/2002/06/beyonce-0na-53x53.jpg,1,2007
101,Umbrella,Rihanna Featuring Jay-Z,https://charts-static.billboard.com/img/2007/04/rihanna-t38-53x53.jpg,2,2007
102,The Sweet Escape,Gwen Stefani Featuring Akon,https://charts-static.billboard.com/img/2006/12/gwen-stefani-72d-53x53.jpg,3,2007
103,Big Girls Don't Cry,Fergie,https://charts-static.billboard.com/img/2007/05/fergie-8pu-53x53.jpg,4,2007
104,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,https://charts-static.billboard.com/img/2007/02/t-pain-kj8-53x53.jpg,5,2007
105,Before He Cheats,Carrie Underwood,https://charts-static.billboard.com/img/2006/02/carrie-underwood-pka-53x53.jpg,6,2007
106,Hey There Delilah,Plain White T's,https://charts-static.billboard.com/img/2007/03/plain-white-ts-8xj-53x53.jpg,7,2007
107,I Wanna Love You,Akon Featuring Snoop Dogg,https://charts-static.billboard.com/img/2006/09/akon-5il-i-wanna-love-you-g4m-53x53.jpg,8,2007
108,Say It Right,Nelly Furtado,https://charts-static.billboard.com/img/2006/11/nelly-furtado-ezw-53x53.jpg,9,2007
109,Glamorous,Fergie Featuring Ludacris,https://charts-static.billboard.com/img/2007/01/fergie-8pu-53x53.jpg,10,2007
110,Don't Matter,Akon,https://charts-static.billboard.com/img/2007/01/akon-5il-53x53.jpg,11,2007
111,Girlfriend,Avril Lavigne,https://charts-static.billboard.com/img/2007/03/avril-lavigne-9qr-53x53.jpg,12,2007
112,Makes Me Wonder,Maroon 5,https://charts-static.billboard.com/img/2007/04/maroon-5-vhb-53x53.jpg,13,2007
113,Party Like A Rockstar,Shop Boyz,https://charts-static.billboard.com/img/2007/03/shop-boyz-8yf-53x53.jpg,14,2007
114,Smack That,Akon Featuring Eminem,https://charts-static.billboard.com/img/1840/12/akon-r9x-53x53.jpg,15,2007
115,This Is Why I'm Hot,Mims,https://charts-static.billboard.com/img/2006/09/mims-wnl-53x53.jpg,16,2007
116,It's Not Over,Daughtry,https://charts-static.billboard.com/img/1840/12/daughtry-c5r-53x53.jpg,17,2007
117,The Way I Are,Timbaland Featuring Keri Hilson,https://charts-static.billboard.com/img/2007/05/timbaland-3i9-53x53.jpg,18,2007
118,Fergalicious,Fergie,https://charts-static.billboard.com/img/2006/10/fergie-8pu-53x53.jpg,19,2007
119,Crank That (Soulja Boy),Soulja Boy Tell'em,https://charts-static.billboard.com/img/2007/06/soulja-boy-4vz-53x53.jpg,20,2007
120,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,https://charts-static.billboard.com/img/1997/06/timbaland-zbn-53x53.jpg,21,2007
121,What Goes Around...Comes Around,Justin Timberlake,https://charts-static.billboard.com/img/2006/09/justin-timberlake-wmm-53x53.jpg,22,2007
122,Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump,https://charts-static.billboard.com/img/2006/12/gym-class-heroes-w0q-53x53.jpg,23,2007
123,How To Save A Life,The Fray,https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg,24,2007
124,Home,Daughtry,https://charts-static.billboard.com/img/2007/03/daughtry-uco-53x53.jpg,25,2007
125,My Love,Justin Timberlake Featuring T.I.,https://charts-static.billboard.com/img/2006/09/justin-timberlake-wmm-53x53.jpg,26,2007
126,Stronger,Kanye West,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-53x53.jpg,27,2007
127,We Fly High,Jim Jones,https://charts-static.billboard.com/img/2006/08/jim-jones-bmq-53x53.jpg,28,2007
128,U + Ur Hand,P!nk,https://charts-static.billboard.com/img/2006/10/pnk-u9h-u-ur-hand-rcv-53x53.jpg,29,2007
129,Walk It Out,Unk,https://charts-static.billboard.com/img/2006/07/unk-q7p-53x53.jpg,30,2007
130,Beautiful Girls,Sean Kingston,https://charts-static.billboard.com/img/2007/05/sean-kingston-qzx-53x53.jpg,31,2007
131,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,https://charts-static.billboard.com/img/2006/12/fall-out-boy-zhw-53x53.jpg,32,2007
